,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair
1435,Page said it 's also possible that genes on the Y chromosome may influence gender-specific differences in disease susceptibility .,He added that genes on the Y might play a role in influencing gender-specific differences in disease susceptibility .,1,1599,page said it 's also possible that genes on the y chromosome may influence genderspecific differences in disease susceptibility .,he added that genes on the y might play a role in influencing genderspecific differences in disease susceptibility .,True
1436,"The Nasdaq composite index fell 2.95 , or 0.2 percent , for the week to 1,912.36 after stumbling 37.78 yesterday .",The Nasdaq eased 0.15 percent for the week after two consecutive up weeks .,0,1600,"the nasdaq composite index fell 2.95 , or 0.2 percent , for the week to 1,912.36 after stumbling 37.78 yesterday .",the nasdaq eased 0.15 percent for the week after two consecutive up weeks .,True
1437,"The House version pays 80 percent of a senior 's first $ 2,000 in drug costs after a $ 250 deductible .","Under the House-passed plan , seniors would pay 20 percent of drug costs , plus a $ 250 deductible annually .",0,1601,"the house version pays 80 percent of a senior 's first 2,000 in drug costs after a 250 deductible .","under the housepassed plan , seniors would pay 20 percent of drug costs , plus a 250 deductible annually .",True
1438,"Overture 's listings are generated by more than 100,000 advertisers who bid for placement on keywords relevant to their business .","Overture generates its search listings from more than 100,000 advertisers who bid for placement on keywords relevant to their business .",1,1602,"overture 's listings are generated by more than 100,000 advertisers who bid for placement on keywords relevant to their business .","overture generates its search listings from more than 100,000 advertisers who bid for placement on keywords relevant to their business .",True
1439,"The company said that with proper funding , ABthrax could be available for emergency use as early as the end of 2004 .",Human Genome said ABthrax could be available for emergency use as early as the end of 2004 .,1,1603,"the company said that with proper funding , abthrax could be available for emergency use as early as the end of 2004 .",human genome said abthrax could be available for emergency use as early as the end of 2004 .,True
1440,"A really robust program could be had for about 20 cents a day , "" Griffin said .",""" A really robust space program could be had for a mere 20 cents a day from each person , "" he said .",1,1604,"a really robust program could be had for about 20 cents a day , "" griffin said .",""" a really robust space program could be had for a mere 20 cents a day from each person , "" he said .",True
1441,His birth on 4 May is revealed today in the journal Science .,The scientists ' research is being published today in the journal Science ( www.sciencemag.org ) .,0,1605,his birth on 4 may is revealed today in the journal science .,the scientists ' research is being published today in the journal science .,True
1442,""" We don 't know at this point if the current investigation includes one or more outside contractors .",""" We do not know if the current investigation involves one or more multiple contractors , "" she said .",1,1606,""" we don 't know at this point if the current investigation includes one or more outside contractors .",""" we do not know if the current investigation involves one or more multiple contractors , "" she said .",True
1443,We intend to appeal vigorously and still expect to be vindicated ultimately .,"We think this was bad law , and we still expect to be vindicated ultimately .",0,1607,we intend to appeal vigorously and still expect to be vindicated ultimately .,"we think this was bad law , and we still expect to be vindicated ultimately .",True
1444,"Shares of LendingTree soared $ 5.99 , or 40.1 percent , to $ 20.68 in afternoon trading on the Nasdaq Stock Market .","Shares of LendingTree rose $ 6.21 , or 42 percent , to $ 20.90 after hitting $ 21.36 earlier .",0,1608,"shares of lendingtree soared 5.99 , or 40.1 percent , to 20.68 in afternoon trading on the nasdaq stock market .","shares of lendingtree rose 6.21 , or 42 percent , to 20.90 after hitting 21.36 earlier .",True
1445,Shares in the big mortgage lenders also fell to record lows .,Shares of other mortgage lenders and home construction companies also fell .,0,1609,shares in the big mortgage lenders also fell to record lows .,shares of other mortgage lenders and home construction companies also fell .,True
1446,July Brent rose 31 cents to $ 28.39 per barrel on London 's International Petroleum Exchange .,Brent crude for July delivery fell 38 cents to $ 27.45 a barrel on London 's International Petroleum Exchange .,1,1610,july brent rose 31 cents to 28.39 per barrel on london 's international petroleum exchange .,brent crude for july delivery fell 38 cents to 27.45 a barrel on london 's international petroleum exchange .,True
1447,It would now take place some time before August 8 in Auckland .,The meeting would now be held before August 8 .,0,1611,it would now take place some time before august 8 in auckland .,the meeting would now be held before august 8 .,True
1448,Also helping Tokyo stocks were hopes the government would next week adopt some of the market boosting proposals discussed on Thursday at a meeting of its top economic advisory panel .,Stocks rebounded on Friday on hopes the government would next week adopt some of the market boosting proposals discussed on Thursday at a meeting of the top economic advisory panel .,1,1613,also helping tokyo stocks were hopes the government would next week adopt some of the market boosting proposals discussed on thursday at a meeting of its top economic advisory panel .,stocks rebounded on friday on hopes the government would next week adopt some of the market boosting proposals discussed on thursday at a meeting of the top economic advisory panel .,True
1449,"However , scientists led by physicist Frank McDonald of the University of Maryland disagree .","It 's just a matter of time , said Frank McDonald , of the University of Maryland .",0,1614,"however , scientists led by physicist frank mcdonald of the university of maryland disagree .","it 's just a matter of time , said frank mcdonald , of the university of maryland .",True
1450,""" It was brazen intimidation to keep people on the reservation , "" said a Republican who attended but did not want to be named .",""" It was a brazen attempt at intimidation , "" said a Republican legislator who attended the meeting .",1,1615,""" it was brazen intimidation to keep people on the reservation , "" said a republican who attended but did not want to be named .",""" it was a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .",True
1451,"At midday Monday , the 10-year note US10YT = RR had slipped 12 / 32 in price giving a yield of 3.16 percent from 3.12 percent .","Further out the curve , the benchmark 10-year note US10YT = RR shed 25 / 32 in price , taking its yield to 3.26 percent from 3.17 percent .",0,1617,"at midday monday , the 10year note us10yt rr had slipped 12 32 in price giving a yield of 3.16 percent from 3.12 percent .","further out the curve , the benchmark 10year note us10yt rr shed 25 32 in price , taking its yield to 3.26 percent from 3.17 percent .",True
1452,"Axelrod died in his sleep of heart failure , said his daughter , Nina Axelrod .","Axelrod died of heart failure while asleep at his Los Angeles home , said his daughter , Nina Axelrod .",1,1618,"axelrod died in his sleep of heart failure , said his daughter , nina axelrod .","axelrod died of heart failure while asleep at his los angeles home , said his daughter , nina axelrod .",True
1453,But it said that the Danish ban had been effective in reducing the spread among food animals .,"But , in a 58-page report , WHO said the Danish ban had been effective in reducing the spread among food animals .",1,1619,but it said that the danish ban had been effective in reducing the spread among food animals .,"but , in a 58page report , who said the danish ban had been effective in reducing the spread among food animals .",True
1454,"Montgomery was one of the first places to enact such a law , but many places , including New York City , now ban smoking in bars .","While Montgomery was one of the first to enact such a law , it 's now relatively common - even New York City bans smoking in bars .",1,1620,"montgomery was one of the first places to enact such a law , but many places , including new york city , now ban smoking in bars .","while montgomery was one of the first to enact such a law , it 's now relatively common even new york city bans smoking in bars .",True
1455,""" 30 years waiting for you , "" read one banner hoisted over the crowd , as many wept tears of happiness at finally seeing and hearing their idol .",""" 30 years waiting for you , "" read one banner hoisted over the crowd , as many concert-goers wept tears of happiness .",1,1621,""" 30 years waiting for you , "" read one banner hoisted over the crowd , as many wept tears of happiness at finally seeing and hearing their idol .",""" 30 years waiting for you , "" read one banner hoisted over the crowd , as many concertgoers wept tears of happiness .",True
1456,He also noted Tom Siebel had turned in 26 million stock options valued at more than $ 50-million ( U.S. ) earlier this year .,He also said that Tom Siebel had turned in 26 million stock options with a value of $ 54 million to $ 56 million earlier this year .,1,1622,he also noted tom siebel had turned in 26 million stock options valued at more than 50million u.s. earlier this year .,he also said that tom siebel had turned in 26 million stock options with a value of 54 million to 56 million earlier this year .,True
1457,Catholic Church officials reported that two miners were killed and six other protesters injured 50 miles ( 110 km ) outside of La Paz .,A Catholic priest said two miners were killed and nine other protesters injured 110 kilometres outside La Paz as a convoy of miners threw dynamite at soldiers manning a roadblock .,0,1623,catholic church officials reported that two miners were killed and six other protesters injured 50 miles 110 km outside of la paz .,a catholic priest said two miners were killed and nine other protesters injured 110 kilometres outside la paz as a convoy of miners threw dynamite at soldiers manning a roadblock .,True
1458,ATA shares were down $ 1.85 at $ 8.07 on the Nasdaq Stock Market in Tuesday afternoon trading .,"ATA shares closed down $ 1.66 , or 16.7 percent , at $ 8.26 on the Nasdaq Stock Market .",1,1624,ata shares were down 1.85 at 8.07 on the nasdaq stock market in tuesday afternoon trading .,"ata shares closed down 1.66 , or 16.7 percent , at 8.26 on the nasdaq stock market .",True
1459,There was no immediate response from North Korea or the United States .,North Korea has demanded one-to-one talks with the United States .,0,1625,there was no immediate response from north korea or the united states .,north korea has demanded onetoone talks with the united states .,True
1460,But the new vaccine will not even begin to be tested in people until 2005 and will not be approved for use for several years after that .,"However , the new vaccine won 't begin to be tested in people until 2005 and won 't be approved for use for several years after that .",1,1626,but the new vaccine will not even begin to be tested in people until 2005 and will not be approved for use for several years after that .,"however , the new vaccine won 't begin to be tested in people until 2005 and won 't be approved for use for several years after that .",True
1461,"But authorities have been unable to stop the tragedies , which they blame on overcrowding , poor vessel construction and lax enforcement of safety rules .","But authorities have been unable to stop the tragedies , which they blame on overcrowding , rickety vessels and lax safety standards .",1,1627,"but authorities have been unable to stop the tragedies , which they blame on overcrowding , poor vessel construction and lax enforcement of safety rules .","but authorities have been unable to stop the tragedies , which they blame on overcrowding , rickety vessels and lax safety standards .",True
1462,The euro < EUR = > was up 0.67 percent against the dollar at $ 1.1784 after rising to a three-month high earlier in the session above $ 1.18 .,"In early U.S. trading , the euro < EUR = > was down 0.6 percent to $ 1.1741 , after rising to a four-month high of $ 1.1860 .",0,1629,the euro eur was up 0.67 percent against the dollar at 1.1784 after rising to a threemonth high earlier in the session above 1.18 .,"in early u.s. trading , the euro eur was down 0.6 percent to 1.1741 , after rising to a fourmonth high of 1.1860 .",True
1463,"Grass ' plea will leave Rite Aid 's former vice chairman and chief counsel , Franklin C. Brown , to stand trial alone in federal court starting Monday .","If accepted by the judge , Grass ' plea will leave Rite Aid 's former vice chairman and chief counsel , Franklin C. Brown , to stand trial alone next month .",1,1630,"grass ' plea will leave rite aid 's former vice chairman and chief counsel , franklin c. brown , to stand trial alone in federal court starting monday .","if accepted by the judge , grass ' plea will leave rite aid 's former vice chairman and chief counsel , franklin c. brown , to stand trial alone next month .",True
1464,"He started in the 1983 Super Bowl , which Miami lost 27-17 to Washington .","He played four seasons in Miami , including the Dolphins ' 27-17 loss to Washington in the Super Bowl .",0,1631,"he started in the 1983 super bowl , which miami lost 2717 to washington .","he played four seasons in miami , including the dolphins ' 2717 loss to washington in the super bowl .",True
1465,"However , George Heath , a Fort Campbell spokesman , said shortly after the attack that Akbar had "" an attitude problem "" .","However , a Fort Campbell spokesman , said that Akbar had "" an attitude problem . """,1,1632,"however , george heath , a fort campbell spokesman , said shortly after the attack that akbar had "" an attitude problem "" .","however , a fort campbell spokesman , said that akbar had "" an attitude problem . """,True
1466,""" Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands , "" Mr. Heyer said .","In a statement , Heyer said , "" Dan brings to Coca-Cola enormous experience in managing some of the world 's largest and most familiar brands .",1,1633,""" dan brings to cocacola enormous experience in managing some of the world 's largest and most familiar brands , "" mr. heyer said .","in a statement , heyer said , "" dan brings to cocacola enormous experience in managing some of the world 's largest and most familiar brands .",True
1467,"The new WPAN standard uses the 2.4-GHz unlicensed frequency band and specifies raw data rates of 11M , 22M , 33M , 44M and 55Mbit / sec .","The new WPAN standard uses the 2.4 GHz unlicensed frequency band and specifies raw data rates of 11 , 22 , 33 , 44 and 55Mbit / s .",1,1634,"the new wpan standard uses the 2.4ghz unlicensed frequency band and specifies raw data rates of 11m , 22m , 33m , 44m and 55mbit sec .","the new wpan standard uses the 2.4 ghz unlicensed frequency band and specifies raw data rates of 11 , 22 , 33 , 44 and 55mbit s .",True
1468,""" We believe that it is not necessary to have a divisive confirmation fight over a Supreme Court appointment .",""" We believe that it is not necessary to have a divisive confirmation fight , "" Daschle of South Dakota wrote the Republican president .",1,1635,""" we believe that it is not necessary to have a divisive confirmation fight over a supreme court appointment .",""" we believe that it is not necessary to have a divisive confirmation fight , "" daschle of south dakota wrote the republican president .",True
1469,Nterprise Linux Services is expected to be available before then end of this year .,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July .,0,1636,nterprise linux services is expected to be available before then end of this year .,beta versions of nterprise linux services are expected to be available on certain hp proliant servers in july .,True
1470,"With a wry smile , Mr. Bush replied , "" You 're looking pretty young these days . ""","Bush shot back : "" You 're looking pretty young these days . """,1,1637,"with a wry smile , mr. bush replied , "" you 're looking pretty young these days . ""","bush shot back "" you 're looking pretty young these days . """,True
1471,"The blue-chip Dow Jones industrial average .DJI edged down 28.08 points , or 0.3 percent , at 9,256.49 .","The Dow Jones industrial average closed down 18.06 , or 0.2 per cent , at 9266.51 .",1,1638,"the bluechip dow jones industrial average .dji edged down 28.08 points , or 0.3 percent , at 9,256.49 .","the dow jones industrial average closed down 18.06 , or 0.2 per cent , at 9266.51 .",True
1472,""" This is extraordinarily fast , "" said Matt Geller , an analyst at CIBC World Markets .","They are actually going to record sales for Velcade this year , "" said Matt Geller , an analyst at CIBC World Markets .",0,1640,""" this is extraordinarily fast , "" said matt geller , an analyst at cibc world markets .","they are actually going to record sales for velcade this year , "" said matt geller , an analyst at cibc world markets .",True
1473,"Agnew said Pinellas began baiting when rabies cases "" went from zero to 30 "" in 1995 .","Still , Pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997 , Agnew said .",0,1641,"agnew said pinellas began baiting when rabies cases "" went from zero to 30 "" in 1995 .","still , pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997 , agnew said .",True
1474,"And now it 's anything he wants to say , "" Alesha Badgley , Stone County Nursing and Rehabilitation Center social director , said this week .","And now it 's anything he wants to say , "" confirmed Stone County Nursing and Rehabilitation Center social director Alesha Badgley .",1,1642,"and now it 's anything he wants to say , "" alesha badgley , stone county nursing and rehabilitation center social director , said this week .","and now it 's anything he wants to say , "" confirmed stone county nursing and rehabilitation center social director alesha badgley .",True
1475,Bond also voiced his disappointment that neither President Bush nor his brother attended this conference in Florida or last year 's in Texas .,Bond voiced disappointment that neither President Bush nor his brother attended the 2002 conference in Texas or the 2003 meeting in Florida .,1,1643,bond also voiced his disappointment that neither president bush nor his brother attended this conference in florida or last year 's in texas .,bond voiced disappointment that neither president bush nor his brother attended the 2002 conference in texas or the 2003 meeting in florida .,True
1476,"The 30-year bond < US30YT = RR > firmed 24 / 32 , taking its yield to 4.18 percent , after hitting another record low of 4.16 percent .","The 30-year bond US30YT = RR firmed 14 / 32 , taking its yield to 4.19 percent from 4.22 percent .",0,1644,"the 30year bond us30yt rr firmed 24 32 , taking its yield to 4.18 percent , after hitting another record low of 4.16 percent .","the 30year bond us30yt rr firmed 14 32 , taking its yield to 4.19 percent from 4.22 percent .",True
1477,British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States .,"GlaxoSmithKline , the UK drugmaker , has said it would cut off supplies to Canadian stores shipping drugs to the US .",1,1645,britishbased glaxosmithkline plc said earlier this year it would cut off supplies to canadian drugstores that ship to the united states .,"glaxosmithkline , the uk drugmaker , has said it would cut off supplies to canadian stores shipping drugs to the us .",True
1478,"Those in their twenties who ejaculated more than five times a week were one-third less likely to develop aggressive prostate cancer later in life , they say .",Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life .,1,1647,"those in their twenties who ejaculated more than five times a week were onethird less likely to develop aggressive prostate cancer later in life , they say .",those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life .,True
1479,But the prime minister told the BBC he wasn 't bothered by polls and that he would continue to do what he believed to be right .,"He said he wasn 't bothered by polls and that he would continue to do what he believed to be right , in both foreign and domestic policy .",0,1648,but the prime minister told the bbc he wasn 't bothered by polls and that he would continue to do what he believed to be right .,"he said he wasn 't bothered by polls and that he would continue to do what he believed to be right , in both foreign and domestic policy .",True
1480,"We need to challenge old habits and seriously rethink business-as-usual , "" he wrote .",""" We need to change old habits and seriously rethink business-as-usual . """,1,1649,"we need to challenge old habits and seriously rethink businessasusual , "" he wrote .",""" we need to change old habits and seriously rethink businessasusual . """,True
1481,The plea makes Grass the second high-ranking Rite Aid executive to strike a deal with federal prosecutors in the past two weeks .,Grass is the second of the Rite Aid defendants to strike a deal with federal prosecutors this month .,1,1650,the plea makes grass the second highranking rite aid executive to strike a deal with federal prosecutors in the past two weeks .,grass is the second of the rite aid defendants to strike a deal with federal prosecutors this month .,True
1482,Class-action suits expand exponentially the number of plaintiffs and damages in a lawsuit by allowing initial plaintiffs to plea on behalf of a far larger group with common interest .,Class-action suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests .,1,1651,classaction suits expand exponentially the number of plaintiffs and damages in a lawsuit by allowing initial plaintiffs to plea on behalf of a far larger group with common interest .,classaction suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests .,True
1483,The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent .,The Swedish central bank cut interest rates by 50 basis points to 3.0 percent .,0,1652,the benchmark 10year bund yield was down 5.2 basis points at 3.60 percent .,the swedish central bank cut interest rates by 50 basis points to 3.0 percent .,True
1484,Powers said almost all supercomputer users would rather pay companies like IBM to do all that than try to build their own .,"Powers said almost all supercomputer users would rather pay the $ 100,000 to $ 10 million for a supercomputer than try to build their own .",1,1653,powers said almost all supercomputer users would rather pay companies like ibm to do all that than try to build their own .,"powers said almost all supercomputer users would rather pay the 100,000 to 10 million for a supercomputer than try to build their own .",True
1485,"One of the Oregon species was acclimated to a temperature of 65 , but survived until the aquarium temperature reached 87 .","One of the Oregon species was acclimated to a temperature of 65 ( 18.33 Celsius ) , but survived until the aquarium temperature reached 87 ( 30.56 Celsius ) .",1,1654,"one of the oregon species was acclimated to a temperature of 65 , but survived until the aquarium temperature reached 87 .","one of the oregon species was acclimated to a temperature of 65 18.33 celsius , but survived until the aquarium temperature reached 87 30.56 celsius .",True
1486,"It was developed with consultation from more than 300 leaders in academia , industry , government and the public .","The plan , called The NIH Roadmap , was developed over 14 months with help from more than 300 consultants in industry and academia .",0,1655,"it was developed with consultation from more than 300 leaders in academia , industry , government and the public .","the plan , called the nih roadmap , was developed over 14 months with help from more than 300 consultants in industry and academia .",True
1487,The judge 's decision ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors during a standing-room only purchasing hearing in U.S. Bankruptcy Court .,Jones ' decision Friday ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors .,0,1656,the judge 's decision ended an 18month process that included a frenzy of lastminute negotiations between bidders and creditors during a standingroom only purchasing hearing in u.s. bankruptcy court .,jones ' decision friday ended an 18month process that included a frenzy of lastminute negotiations between bidders and creditors .,True
1488,The value of the deal has increased since BP first announced it in February .,The value of BP 's investment has risen since the deal was announced in February .,1,1657,the value of the deal has increased since bp first announced it in february .,the value of bp 's investment has risen since the deal was announced in february .,True
1489,Hoy confirmed the woman 's age Tuesday and said she has left on vacation with her family .,"Hoy confirmed the woman 's age Tuesday and said she was on vacation with her family , but is expected to return this week .",0,1658,hoy confirmed the woman 's age tuesday and said she has left on vacation with her family .,"hoy confirmed the woman 's age tuesday and said she was on vacation with her family , but is expected to return this week .",True
1490,Chapman was not immediately arrested and is expected to appear for arraignment July 3 .,"Mr. Chapman , who hasn 't been arrested , is expected to appear for arraignment next Thursday , prosecutors said .",1,1659,chapman was not immediately arrested and is expected to appear for arraignment july 3 .,"mr. chapman , who hasn 't been arrested , is expected to appear for arraignment next thursday , prosecutors said .",True
1491,Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians who could vote on electronic touch-screen machines .,Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians voting electronically - 9.3 percent of the state 's 15.3 million registered voters .,0,1661,their worstcase scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million californians who could vote on electronic touchscreen machines .,their worstcase scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million californians voting electronically 9.3 percent of the state 's 15.3 million registered voters .,True
1492,"Tech stocks were hurt by a sour forecast from Sun Microsystems , which was viewed as a bad omen for the upcoming quarterly earnings season .",A sour forecast from Sun Microsystems Inc . SUNW.O put more pressure on Wall Street before the quarterly earnings season .,1,1662,"tech stocks were hurt by a sour forecast from sun microsystems , which was viewed as a bad omen for the upcoming quarterly earnings season .",a sour forecast from sun microsystems inc . sunw.o put more pressure on wall street before the quarterly earnings season .,True
1493,""" Let 's show we won 't let them off , "" said Marc Blondel , leader of the Force Ouvriere union .",""" The movement to defend pensions is gaining momentum , and we won 't give up , "" said Marc Blondel , leader of the Force Ouvriere union .",0,1663,""" let 's show we won 't let them off , "" said marc blondel , leader of the force ouvriere union .",""" the movement to defend pensions is gaining momentum , and we won 't give up , "" said marc blondel , leader of the force ouvriere union .",True
1494,"An artist who painted a fake "" CAUTION Low Flying Planes "" sign on a building near ground zero said Tuesday that he did not mean to offend anyone .","An artist painted a sign reading ``CAUTION Low Flying Planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",0,1665,"an artist who painted a fake "" caution low flying planes "" sign on a building near ground zero said tuesday that he did not mean to offend anyone .","an artist painted a sign reading caution low flying planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",True
1495,"Utah 's median household income also took a hit , falling 1.8 percent , from $ 48,875 to $ 47,978 .","Georgia 's median household income dropped about 0.9 percent to $ 43,096 -- a $ 408 dip .",0,1666,"utah 's median household income also took a hit , falling 1.8 percent , from 48,875 to 47,978 .","georgia 's median household income dropped about 0.9 percent to 43,096 a 408 dip .",True
1496,"Culturecom is confident it will make a significant impact on market share with this new development , "" Frank Cheung , chairman of Culturecom , said in a statement .","He added : "" Culturecom is confident it will make a significant impact on market share with this new development . """,1,1667,"culturecom is confident it will make a significant impact on market share with this new development , "" frank cheung , chairman of culturecom , said in a statement .","he added "" culturecom is confident it will make a significant impact on market share with this new development . """,True
1497,"Larger rivals , including Tesco and Sainsbury ’ s , were excluded from the bid battle following a Competition Commission inquiry last month .","A Competition Commission inquiry last month has already excluded larger rivals Tesco , Asda and J Sainsbury from the bid race .",0,1668,"larger rivals , including tesco and sainsbury s , were excluded from the bid battle following a competition commission inquiry last month .","a competition commission inquiry last month has already excluded larger rivals tesco , asda and j sainsbury from the bid race .",True
1498,The move to rein in losses at its four boutique outlets comes as the retailer seeks to cap the cost of doing business .,The move to rein in the losses of the four upmarket food outlets comes as the retailer seeks to cap the cost of doing business .,1,1669,the move to rein in losses at its four boutique outlets comes as the retailer seeks to cap the cost of doing business .,the move to rein in the losses of the four upmarket food outlets comes as the retailer seeks to cap the cost of doing business .,True
1499,"Defence lawyers sought to have those charges thrown out , claiming the Bali court had no jurisdiction over those crimes .","Defence lawyers sought to have those charges thrown out , claiming the Bali court hearing Mr Samudra 's case did not have jurisdiction over those crimes .",1,1670,"defence lawyers sought to have those charges thrown out , claiming the bali court had no jurisdiction over those crimes .","defence lawyers sought to have those charges thrown out , claiming the bali court hearing mr samudra 's case did not have jurisdiction over those crimes .",True
1500,Many compensation experts had predicted Carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place .,"Many compensation experts had predicted that Carty would get a generous severance package because his voluntary resignation helped preserve the concessions , the Fort Worth Star-Telegram reported .",1,1671,many compensation experts had predicted carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place .,"many compensation experts had predicted that carty would get a generous severance package because his voluntary resignation helped preserve the concessions , the fort worth startelegram reported .",True
1501,"The broader Standard & Poor 's 500 Index .SPX declined 10.65 points , or 1.07 percent , to 987.86 .","The technology-laced Nasdaq Composite Index < .IXIC > declined 25.78 points , or 1.56 percent , to 1,627.84 .",0,1672,"the broader standard poor 's 500 index .spx declined 10.65 points , or 1.07 percent , to 987.86 .","the technologylaced nasdaq composite index .ixic declined 25.78 points , or 1.56 percent , to 1,627.84 .",True
1502,"Nine traffic deaths were blamed on the storm in North Carolina , Virginia , Maryland , Pennsylvania and Washington .","At least 36 deaths have been blamed on the storm , 20 of them in Virginia .",0,1673,"nine traffic deaths were blamed on the storm in north carolina , virginia , maryland , pennsylvania and washington .","at least 36 deaths have been blamed on the storm , 20 of them in virginia .",True
1503,He faces 25 years in prison when he is sentenced in federal court July 7 .,He faces an additional 25 years in prison on the federal charges when he is sentenced July 7 .,1,1674,he faces 25 years in prison when he is sentenced in federal court july 7 .,he faces an additional 25 years in prison on the federal charges when he is sentenced july 7 .,True
1504,"Also in Mosul , rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition .","Near a mosque in the northern town of Mosul , rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition .",1,1675,"also in mosul , rebel gunmen on friday assassinated a sunni muslim tribal leader who backed the coalition .","near a mosque in the northern town of mosul , rebel gunmen also assassinated a sunni muslim tribal leader who backed the coalition .",True
1505,Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville .,"Manuel and his group entered the US the same way thousands of people do every day , by walking across the bridge between Matamoros and Brownsville .",1,1676,mr. manuel and his group entered the united states by walking across the bridge linking matamoros and brownsville .,"manuel and his group entered the us the same way thousands of people do every day , by walking across the bridge between matamoros and brownsville .",True
1506,"Goldman is trying to sell the shares to institutional investors at $ US13.15 each , said the traders , who received calls from the securities firm 's sales force .","Goldman offered the shares for sale to institutional investors at $ 13.15 each , said the traders , who received calls from the securities firm 's sales force .",1,1677,"goldman is trying to sell the shares to institutional investors at us13.15 each , said the traders , who received calls from the securities firm 's sales force .","goldman offered the shares for sale to institutional investors at 13.15 each , said the traders , who received calls from the securities firm 's sales force .",True
1507,"Daughter Renee Jackson said she often made "" huge pots of , like , beans and rice with , like , meat and casseroles "" for the whole family .","Their biological daughter Renee Jackson , 29 , said she made huge pots of beans and rice , and meat and casseroles .",1,1678,"daughter renee jackson said she often made "" huge pots of , like , beans and rice with , like , meat and casseroles "" for the whole family .","their biological daughter renee jackson , 29 , said she made huge pots of beans and rice , and meat and casseroles .",True
1508,"Dotson , 21 , was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him .","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him , according to the arrest warrant affidavit .",1,1679,"dotson , 21 , was arrested and charged on july 21 after reportedly telling authorities he shot dennehy after dennehy tried to shoot him .","dotson was arrested july 21 after telling fbi agents he shot dennehy when dennehy tried to shoot him , according to the arrest warrant affidavit .",True
1509,"The identical rovers will act as robotic geologists , searching for evidence of past water .","The rovers act as robotic geologists , moving on six wheels .",0,1680,"the identical rovers will act as robotic geologists , searching for evidence of past water .","the rovers act as robotic geologists , moving on six wheels .",True
1510,Shellfire could be heard in the background as Ghafar spoke by satellite telephone .,"As he spoke by satellite phone , shellfire could be heard in the background .",1,1681,shellfire could be heard in the background as ghafar spoke by satellite telephone .,"as he spoke by satellite phone , shellfire could be heard in the background .",True
1511,""" As expected , second-quarter sales were weak driven by the combination of declining retail inventories and market-share losses , "" said Robert A. Eckert , chief executive .",""" As expected , second-quarter sales were weak driven by the combination of declining retail inventories and market-share losses , "" Chief Executive Robert Eckert said in a statement .",1,1682,""" as expected , secondquarter sales were weak driven by the combination of declining retail inventories and marketshare losses , "" said robert a. eckert , chief executive .",""" as expected , secondquarter sales were weak driven by the combination of declining retail inventories and marketshare losses , "" chief executive robert eckert said in a statement .",True
1512,"He added International Business Machines Corp. ' s ( IBM ) endorsement of Linux has "" added credibility and an illusion of support and accountability . ""","Complicating the situation , he continued , are companies , like IBM , whose support of Linux "" has added credibility and an illusion of support and accountability . """,1,1683,"he added international business machines corp. ' s ibm endorsement of linux has "" added credibility and an illusion of support and accountability . ""","complicating the situation , he continued , are companies , like ibm , whose support of linux "" has added credibility and an illusion of support and accountability . """,True
1513,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas .,Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented .,1,1684,his dissent was joined by chief justice william h. rehnquist and justice clarence thomas .,chief justice william h. rehnquist and justices antonin scalia and clarence thomas dissented .,True
1514,"Davis , who appointed all of the PUC commissioners , called the proposed settlement ``too expensive for the ratepayers .",""" The proposed settlement is too expensive for the ratepayers , "" the governor said in a statement .",0,1685,"davis , who appointed all of the puc commissioners , called the proposed settlement too expensive for the ratepayers .",""" the proposed settlement is too expensive for the ratepayers , "" the governor said in a statement .",True
