,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair,noise_flags_sentence1,noise_flags_sentence2,major_noise_sentence1,major_noise_sentence2,major_noisy_pair
1480,"We need to challenge old habits and seriously rethink business-as-usual , "" he wrote .",""" We need to change old habits and seriously rethink business-as-usual . """,1,1649,"we need to challenge old habits and seriously rethink businessasusual , "" he wrote .",""" we need to change old habits and seriously rethink businessasusual . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1481,The plea makes Grass the second high-ranking Rite Aid executive to strike a deal with federal prosecutors in the past two weeks .,Grass is the second of the Rite Aid defendants to strike a deal with federal prosecutors this month .,1,1650,the plea makes grass the second highranking rite aid executive to strike a deal with federal prosecutors in the past two weeks .,grass is the second of the rite aid defendants to strike a deal with federal prosecutors this month .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1482,Class-action suits expand exponentially the number of plaintiffs and damages in a lawsuit by allowing initial plaintiffs to plea on behalf of a far larger group with common interest .,Class-action suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests .,1,1651,classaction suits expand exponentially the number of plaintiffs and damages in a lawsuit by allowing initial plaintiffs to plea on behalf of a far larger group with common interest .,classaction suits expand sharply the number of plaintiffs and damages in a suit by allowing initial plaintiffs to sue on behalf of a larger group with common interests .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1483,The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent .,The Swedish central bank cut interest rates by 50 basis points to 3.0 percent .,0,1652,the benchmark 10year bund yield was down 5.2 basis points at 3.60 percent .,the swedish central bank cut interest rates by 50 basis points to 3.0 percent .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1484,Powers said almost all supercomputer users would rather pay companies like IBM to do all that than try to build their own .,"Powers said almost all supercomputer users would rather pay the $ 100,000 to $ 10 million for a supercomputer than try to build their own .",1,1653,powers said almost all supercomputer users would rather pay companies like ibm to do all that than try to build their own .,"powers said almost all supercomputer users would rather pay the 100,000 to 10 million for a supercomputer than try to build their own .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
1485,"One of the Oregon species was acclimated to a temperature of 65 , but survived until the aquarium temperature reached 87 .","One of the Oregon species was acclimated to a temperature of 65 ( 18.33 Celsius ) , but survived until the aquarium temperature reached 87 ( 30.56 Celsius ) .",1,1654,"one of the oregon species was acclimated to a temperature of 65 , but survived until the aquarium temperature reached 87 .","one of the oregon species was acclimated to a temperature of 65 18.33 celsius , but survived until the aquarium temperature reached 87 30.56 celsius .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
1487,The judge 's decision ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors during a standing-room only purchasing hearing in U.S. Bankruptcy Court .,Jones ' decision Friday ended an 18-month process that included a frenzy of last-minute negotiations between bidders and creditors .,0,1656,the judge 's decision ended an 18month process that included a frenzy of lastminute negotiations between bidders and creditors during a standingroom only purchasing hearing in u.s. bankruptcy court .,jones ' decision friday ended an 18month process that included a frenzy of lastminute negotiations between bidders and creditors .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1491,Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians who could vote on electronic touch-screen machines .,Their worst-case scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million Californians voting electronically - 9.3 percent of the state 's 15.3 million registered voters .,0,1661,their worstcase scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million californians who could vote on electronic touchscreen machines .,their worstcase scenario is the accidental deletion or malicious falsification of ballots from the 1.42 million californians voting electronically 9.3 percent of the state 's 15.3 million registered voters .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1494,"An artist who painted a fake "" CAUTION Low Flying Planes "" sign on a building near ground zero said Tuesday that he did not mean to offend anyone .","An artist painted a sign reading ``CAUTION Low Flying Planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",0,1665,"an artist who painted a fake "" caution low flying planes "" sign on a building near ground zero said tuesday that he did not mean to offend anyone .","an artist painted a sign reading caution low flying planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
1495,"Utah 's median household income also took a hit , falling 1.8 percent , from $ 48,875 to $ 47,978 .","Georgia 's median household income dropped about 0.9 percent to $ 43,096 -- a $ 408 dip .",0,1666,"utah 's median household income also took a hit , falling 1.8 percent , from 48,875 to 47,978 .","georgia 's median household income dropped about 0.9 percent to 43,096 a 408 dip .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1496,"Culturecom is confident it will make a significant impact on market share with this new development , "" Frank Cheung , chairman of Culturecom , said in a statement .","He added : "" Culturecom is confident it will make a significant impact on market share with this new development . """,1,1667,"culturecom is confident it will make a significant impact on market share with this new development , "" frank cheung , chairman of culturecom , said in a statement .","he added "" culturecom is confident it will make a significant impact on market share with this new development . """,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
1497,"Larger rivals , including Tesco and Sainsbury ’ s , were excluded from the bid battle following a Competition Commission inquiry last month .","A Competition Commission inquiry last month has already excluded larger rivals Tesco , Asda and J Sainsbury from the bid race .",0,1668,"larger rivals , including tesco and sainsbury s , were excluded from the bid battle following a competition commission inquiry last month .","a competition commission inquiry last month has already excluded larger rivals tesco , asda and j sainsbury from the bid race .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1500,Many compensation experts had predicted Carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place .,"Many compensation experts had predicted that Carty would get a generous severance package because his voluntary resignation helped preserve the concessions , the Fort Worth Star-Telegram reported .",1,1671,many compensation experts had predicted carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place .,"many compensation experts had predicted that carty would get a generous severance package because his voluntary resignation helped preserve the concessions , the fort worth startelegram reported .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
1501,"The broader Standard & Poor 's 500 Index .SPX declined 10.65 points , or 1.07 percent , to 987.86 .","The technology-laced Nasdaq Composite Index < .IXIC > declined 25.78 points , or 1.56 percent , to 1,627.84 .",0,1672,"the broader standard poor 's 500 index .spx declined 10.65 points , or 1.07 percent , to 987.86 .","the technologylaced nasdaq composite index .ixic declined 25.78 points , or 1.56 percent , to 1,627.84 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1506,"Goldman is trying to sell the shares to institutional investors at $ US13.15 each , said the traders , who received calls from the securities firm 's sales force .","Goldman offered the shares for sale to institutional investors at $ 13.15 each , said the traders , who received calls from the securities firm 's sales force .",1,1677,"goldman is trying to sell the shares to institutional investors at us13.15 each , said the traders , who received calls from the securities firm 's sales force .","goldman offered the shares for sale to institutional investors at 13.15 each , said the traders , who received calls from the securities firm 's sales force .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1511,""" As expected , second-quarter sales were weak driven by the combination of declining retail inventories and market-share losses , "" said Robert A. Eckert , chief executive .",""" As expected , second-quarter sales were weak driven by the combination of declining retail inventories and market-share losses , "" Chief Executive Robert Eckert said in a statement .",1,1682,""" as expected , secondquarter sales were weak driven by the combination of declining retail inventories and marketshare losses , "" said robert a. eckert , chief executive .",""" as expected , secondquarter sales were weak driven by the combination of declining retail inventories and marketshare losses , "" chief executive robert eckert said in a statement .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1512,"He added International Business Machines Corp. ' s ( IBM ) endorsement of Linux has "" added credibility and an illusion of support and accountability . ""","Complicating the situation , he continued , are companies , like IBM , whose support of Linux "" has added credibility and an illusion of support and accountability . """,1,1683,"he added international business machines corp. ' s ibm endorsement of linux has "" added credibility and an illusion of support and accountability . ""","complicating the situation , he continued , are companies , like ibm , whose support of linux "" has added credibility and an illusion of support and accountability . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1514,"Davis , who appointed all of the PUC commissioners , called the proposed settlement ``too expensive for the ratepayers .",""" The proposed settlement is too expensive for the ratepayers , "" the governor said in a statement .",0,1685,"davis , who appointed all of the puc commissioners , called the proposed settlement too expensive for the ratepayers .",""" the proposed settlement is too expensive for the ratepayers , "" the governor said in a statement .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1519,"Spot gold was fetching $ 365.25 / 366.25 an ounce at 0520 GMT , having galloped as high as $ 368.90 -- a level not seen since February 10 .","Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .",0,1690,"spot gold was fetching 365.25 366.25 an ounce at 0520 gmt , having galloped as high as 368.90 a level not seen since february 10 .","spot gold was quoted at 367.90 368.60 an ounce at 1000 gmt , having marched up to 369.50 a level not seen since february 10 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1520,"Henri was centered about 75 miles southwest of Cedar Key and was moving east-northeast at 5 mph , forecasters said .","It was centered about 100 miles southwest of Cedar Key and drifting erratically southward , forecasters said .",0,1691,"henri was centered about 75 miles southwest of cedar key and was moving eastnortheast at 5 mph , forecasters said .","it was centered about 100 miles southwest of cedar key and drifting erratically southward , forecasters said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1521,"Branch was later fired by the company and eventually filed a wrongful-termination suit that included details about the documents , the Journal story said .","The former employees filed wrongful-termination suits , dismissed in July 2002 , that included details about the documents , the Journal story said .",0,1692,"branch was later fired by the company and eventually filed a wrongfultermination suit that included details about the documents , the journal story said .","the former employees filed wrongfultermination suits , dismissed in july 2002 , that included details about the documents , the journal story said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1522,The stretch of Danube river passing through the Balkans dropped so low that wrecks of World War II boats became visible .,Rivers were also drying up - a stretch of Danube passing through the Balkans dropped so low that wrecks of World War II boats became visible .,1,1693,the stretch of danube river passing through the balkans dropped so low that wrecks of world war ii boats became visible .,rivers were also drying up a stretch of danube passing through the balkans dropped so low that wrecks of world war ii boats became visible .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
1523,"Police arrested a "" potential suspect "" Monday in the case of a nine-year-old girl who turned up safe two days after being violently abducted from her home .","Police arrested a "" potential suspect "" Monday in the abduction of a 9-year-old who was found safe after two days , the police chief said .",1,1694,"police arrested a "" potential suspect "" monday in the case of a nineyearold girl who turned up safe two days after being violently abducted from her home .","police arrested a "" potential suspect "" monday in the abduction of a 9yearold who was found safe after two days , the police chief said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1525,Rep. Dennis Kucinich of Ohio is expected to raise more than $ 1 million .,Ohio Rep. Dennis Kucinich passed $ 1 million last week and was still counting money .,1,1696,rep. dennis kucinich of ohio is expected to raise more than 1 million .,ohio rep. dennis kucinich passed 1 million last week and was still counting money .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1526,"But a state judge has ruled that the so-called "" double jeopardy "" protections do not apply in the case .",A judge already has ruled that double-jeopardy protections don 't apply in the case .,1,1697,"but a state judge has ruled that the socalled "" double jeopardy "" protections do not apply in the case .",a judge already has ruled that doublejeopardy protections don 't apply in the case .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1528,The worst-affected area was South Kyongsang province where at least 15 people drowned and roads were swept away .,The worst affected area was South Kyeongsang province where at least 15 people drowned and roads were swept away in mud sides .,1,1700,the worstaffected area was south kyongsang province where at least 15 people drowned and roads were swept away .,the worst affected area was south kyeongsang province where at least 15 people drowned and roads were swept away in mud sides .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1531,Mr Berlusconi is accused of bribing judges to influence the sale of the state-controlled SME food company in 1985 .,"Mr Berlusconi is accused of bribing judges to influence a takeover battle in the 1980s involving SME , a state-owned food company .",1,1704,mr berlusconi is accused of bribing judges to influence the sale of the statecontrolled sme food company in 1985 .,"mr berlusconi is accused of bribing judges to influence a takeover battle in the 1980s involving sme , a stateowned food company .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1532,"The stock closed Friday at $ 5.91 , down $ 1.24 , or 17 percent , on the Nasdaq Stock Market .","Shares of Brocade closed at $ 5.91 , down $ 1.24 , or 17.3 percent .",1,1705,"the stock closed friday at 5.91 , down 1.24 , or 17 percent , on the nasdaq stock market .","shares of brocade closed at 5.91 , down 1.24 , or 17.3 percent .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1537,"Further out the curve , the benchmark 10-year note US10YT = RR shed 25 / 32 in price , taking its yield to 3.26 percent from 3.17 percent .","Early Wednesday , the benchmark 10-year US10YT = RR had lost 16 / 32 in price , driving its yield up to 3.33 percent from 3.26 percent late Tuesday .",0,1710,"further out the curve , the benchmark 10year note us10yt rr shed 25 32 in price , taking its yield to 3.26 percent from 3.17 percent .","early wednesday , the benchmark 10year us10yt rr had lost 16 32 in price , driving its yield up to 3.33 percent from 3.26 percent late tuesday .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1539,Minister Saud al-Faisal 's visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name .,"Minister Saud al-Faisal 's visit was disclosed by two administration officials , who spoke on condition of anonymity .",1,1712,minister saud alfaisal 's visit was disclosed monday by two administration officials who discussed it on condition of not being identified by name .,"minister saud alfaisal 's visit was disclosed by two administration officials , who spoke on condition of anonymity .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1540,SAN Architect and AutoAdvice can be used by themselves or as extensions to the ControlCenter family of storage management applications .,SAN Architect and AutoAdvice can be used as stand-alone applications or as an extension to EMC 's ControlCenter applications .,1,1713,san architect and autoadvice can be used by themselves or as extensions to the controlcenter family of storage management applications .,san architect and autoadvice can be used as standalone applications or as an extension to emc 's controlcenter applications .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
1541,Teams of inspectors walked into a restricted area at one park without being stopped ; others took pictures of sensitive areas without being challenged .,Teams of inspectors walked into a restricted area at one park without being stopped by employees ; others took pictures of security-sensitive areas without anyone challenging them .,1,1714,teams of inspectors walked into a restricted area at one park without being stopped others took pictures of sensitive areas without being challenged .,teams of inspectors walked into a restricted area at one park without being stopped by employees others took pictures of securitysensitive areas without anyone challenging them .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1544,Mr. Stevens has also told his officers that information from British intelligence indicates there are more al Qaeda agents in Britain than previously thought .,Sir John has also told his officers that information from British intelligence indicates there are more al-Qa 'eda agents in Britain than previously thought .,1,1717,mr. stevens has also told his officers that information from british intelligence indicates there are more al qaeda agents in britain than previously thought .,sir john has also told his officers that information from british intelligence indicates there are more alqa 'eda agents in britain than previously thought .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
1546,He said some issues _ such as division break-up _ really can only be resolved if and when the conference is expanded .,He said some issues - including division alignments - will be resolved if the conference expands .,1,1719,he said some issues _ such as division breakup _ really can only be resolved if and when the conference is expanded .,he said some issues including division alignments will be resolved if the conference expands .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1549,"Nearly all of Ford 's second-quarter profit came from Ford Credit , which earned a net $ 401 million , up 21.5 percent .","Nearly all of Ford 's second-quarter profit came from its Ford Credit finance arm , which earned $ 401 million , up 21.5 percent from a year earlier .",1,1723,"nearly all of ford 's secondquarter profit came from ford credit , which earned a net 401 million , up 21.5 percent .","nearly all of ford 's secondquarter profit came from its ford credit finance arm , which earned 401 million , up 21.5 percent from a year earlier .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1552,"But while Microsoft 's share of the low-end server software market has increased since the EU 's investigation started five years ago , the firm has denied anti-competitive practices are to blame .","Microsoft 's share of the low-end server software market has increased since the probe started five years ago , but the firm denied anti-competitive practices were the reason for this .",1,1726,"but while microsoft 's share of the lowend server software market has increased since the eu 's investigation started five years ago , the firm has denied anticompetitive practices are to blame .","microsoft 's share of the lowend server software market has increased since the probe started five years ago , but the firm denied anticompetitive practices were the reason for this .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1553,"No country seems likely to oppose proposals for a long-term European Council president , replacing the current rotating presidency , as well as an EU foreign minister .","No country now opposes plans for a long-term European Council president , replacing the current rotating presidency , as well as an EU foreign minister .",1,1727,"no country seems likely to oppose proposals for a longterm european council president , replacing the current rotating presidency , as well as an eu foreign minister .","no country now opposes plans for a longterm european council president , replacing the current rotating presidency , as well as an eu foreign minister .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1555,"Third-quarter revenue declined to $ 36.9 billion from $ 39.3 billion , primarily reflecting lower vehicle sales .","Revenue fell to $ 36.9bn from $ 39.3bn a year ago , mainly due to lower vehicle sales .",1,1729,"thirdquarter revenue declined to 36.9 billion from 39.3 billion , primarily reflecting lower vehicle sales .","revenue fell to 36.9bn from 39.3bn a year ago , mainly due to lower vehicle sales .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1558,"For proof , look no further than this week 's Consumer Electronics Show ( CES ) in Las Vegas .",The company is expected to unveil the console on Thursday at the Consumer Electronics Show ( CES ) in Las Vegas .,0,1732,"for proof , look no further than this week 's consumer electronics show ces in las vegas .",the company is expected to unveil the console on thursday at the consumer electronics show ces in las vegas .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1560,"U.S. troops encountered no resistance during the five-hour sweep near Tikrit , Saddam Hussein 's hometown and the center of a region of Baath Party supporters .",Tikrit is Saddam Hussein 's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials .,0,1734,"u.s. troops encountered no resistance during the fivehour sweep near tikrit , saddam hussein 's hometown and the center of a region of baath party supporters .",tikrit is saddam hussein 's hometown and the region around it is known as a hotbed of baath party supporters and former highranking iraqi military officials .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1564,"A second bomb , evidently carried by the other woman , did not explode ; the authorities detonated the explosives later .","A second bomb , evidently carried by the other woman , did not explode ; the authorities found explosives and detonated them afterward .",1,1739,"a second bomb , evidently carried by the other woman , did not explode the authorities detonated the explosives later .","a second bomb , evidently carried by the other woman , did not explode the authorities found explosives and detonated them afterward .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
1565,"AN artist has infuriated New Yorkers by painting a sign reading "" CAUTION Low Flying Planes "" on a building near Ground Zero .","An artist painted a sign reading ``CAUTION Low Flying Planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",1,1740,"an artist has infuriated new yorkers by painting a sign reading "" caution low flying planes "" on a building near ground zero .","an artist painted a sign reading caution low flying planes ' ' on a building near ground zero , angering neighbors and stirring complaints .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
1567,"Seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .","Above that , Medicare would pay 90 percent of all drug costs .",0,1742,"seniors would then have to pay 50 percent of their drug costs up to 3,450 .","above that , medicare would pay 90 percent of all drug costs .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1568,The National Association of Purchasing Management-Chicago 's factory index increased to 58.9 from 55.9 in July .,"The National Association of Purchasing Management-Chicago 's monthly index rose to 58.9 from 55.9 in July , the highest in 15 months .",0,1743,the national association of purchasing managementchicago 's factory index increased to 58.9 from 55.9 in july .,"the national association of purchasing managementchicago 's monthly index rose to 58.9 from 55.9 in july , the highest in 15 months .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
1571,General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla .,Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla .,1,1749,general jeffrey said he would donate his military pension to charity for the period he was in office at yarralumla .,majgen jeffery said he would give his military pension to charity while he served at yarralumla .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
1572,"The technology-laced Nasdaq Composite Index .IXIC climbed 40.09 points , or 2.46 percent , to 1,666.58 , based on the latest data , and marking its highest close since May 23 , 2002 .","The technology-laced Nasdaq Composite Index < .IXIC > was up 40.09 points , or 2.46 percent , at 1,666.58 , marking its highest close since May 23 , 2002 .",1,1750,"the technologylaced nasdaq composite index .ixic climbed 40.09 points , or 2.46 percent , to 1,666.58 , based on the latest data , and marking its highest close since may 23 , 2002 .","the technologylaced nasdaq composite index .ixic was up 40.09 points , or 2.46 percent , at 1,666.58 , marking its highest close since may 23 , 2002 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
